Date,AAPL,MSFT,AMZN,BRK.B,GOOGL,UNH,JNJ,XOM,JPM,NVDA,PG,TSLA,V,HD,CVX,MA,PFE,ABBV,LLY,MRK,META,PEP,KO,BAC,AVGO,TMO,COST,WMT,MCD,CSCO,ACN,NEE,VZ,DIS,ADBE,BMY,PM,WFC,CMCSA,NKE,RTX,HON,AMGN,NFLX
04/01/2018,41.97,90.47,70.88,199.01,51.38,218.46,127.82,74.27,109.96,57.19,79.26,17.08,119.27,177.15,113.89,174.64,33.58,94,76.88,51.87,157.81,108.62,43.44,29.8,233.95,205.72,182.14,88,158.27,42.52,151.82,40.99,47.62,100.18,214.81,62.93,99.59,52.37,34.09,65.97,74.11,137.72,169.92,291.94
03/01/2018,44.63,93.99,75.68,206.82,55.48,225.7,129.11,75.53,115.48,60.48,78.4,23,123.26,182.75,111.53,176.35,34.24,115.91,77.06,51.74,179.01,109.21,43.1,32.07,245.86,208.64,186.43,90.17,157.8,44.68,161.28,38.17,47.69,103.2,210.32,66.1,103.67,58.25,36.44,67.24,79.74,144.89,184.21,292.75
02/01/2018,41.79,94.79,72.25,214.49,58.8,235.26,137.53,87.5,115.77,59.63,86.15,23.4,124.74,199.34,125.6,172.51,34.7,112.24,81.54,56.42,188.22,119.92,47.41,32,241.72,224.16,188.47,105.96,170.27,41.09,160.16,39.65,54.49,108.62,199.12,62.18,107.04,65.37,42.17,67.67,80.8,152.23,185,266.41
01/01/2018,42.54,86.13,58.6,198.87,52.65,221.02,139.66,83.82,107.63,48.94,91.92,20.8,114.57,190.21,125.71,152.01,34.49,97.14,84.46,53.96,177.68,119.93,45.91,29.75,259.77,190.8,182.45,99.3,173.73,38.67,153.5,39.11,53.16,108.95,175.85,61.4,105.82,61.04,40.39,62.85,75.44,147.27,175.35,196.1
12/01/2017,42.49,83.6,58.6,193.59,51.52,228.89,139.57,83.44,104.9,49.83,90.18,20.36,112.38,180.32,119.81,150.4,34.4,97.19,84.98,52.83,176.03,116.5,45.8,28.25,275.21,192.78,178.58,97.61,172.77,37.09,147.7,39.6,50.9,104.58,179.51,63.16,102.83,56.57,37.15,60.42,71.76,149.07,174.16,186.99
11/01/2017,42.47,83.68,55.27,188.1,51.82,211.62,139.83,83.39,101.1,52.34,86.33,22.15,110.5,166.42,116.3,149.95,33.19,90.78,82.17,52.96,182.36,109.76,45.75,27.64,264.24,195.14,157.84,87.07,165.72,34.29,142.26,38.92,48.15,98.13,176.59,61.86,104.78,56.32,36.25,55.42,71.1,138.44,175.3,197.24
10/01/2017,38.56,74.71,48.2,183.45,48.78,196.59,130.16,81.3,95.77,45.2,91.26,22.83,105.54,164.2,116.42,141.9,33.81,89.74,85.78,61.23,171.39,109.91,45.05,25.46,245.31,189.81,160.71,77.9,156,33.61,135.23,36.84,49.39,99.31,149.79,63.8,111.23,55.16,38.41,52.16,68.5,135.78,187.03,182.11
09/01/2017,41.2,74.71,49.21,181.6,47.87,199.79,132.6,76.37,91.25,42.49,92.42,23.74,104.04,150.26,107.68,133.84,32.17,75.59,81.54,60.83,172.4,115.38,45.64,23.9,252.33,188.22,153.57,78.31,159.87,32.22,130.95,37.75,48.02,101.65,155.76,60.36,117.17,51.06,40.77,53,70.62,132.41,178.14,175.55
08/01/2017,37.27,73.1,49.81,175.93,47.39,193.4,133.17,80.16,92.49,40.53,91.03,21.53,100.36,150.24,109.54,128.66,31.32,70.03,82.86,61.06,169.82,116.69,45.97,24.29,248.23,176.16,155.04,80.25,154.98,31.59,129.1,36.47,48.68,109.98,147.48,57.15,117.01,54.23,40.4,59,70.19,130.55,174.81,182.49
07/01/2017,36.22,69.33,48.64,170.4,46.66,186.29,132.79,80.79,91.56,36.26,87.4,24.68,94.38,154.39,104.24,122.25,31.74,72.76,82.41,60.88,151.72,115.55,45.11,24.46,234.51,175.33,156.12,75.84,153.44,31.09,123.82,35.21,44.61,106.76,141.73,56.27,117.86,55.81,39.08,58.37,72.32,128.23,172.63,149.8
06/01/2017,38.29,70.24,49.93,165.8,49.55,175.78,128.32,80.37,82.46,36.25,88.02,22.93,95.4,153.52,103.69,122.8,30.97,66.25,79.6,62.07,151.75,116.8,45.45,22.48,241.6,172.79,176.2,78.64,150.79,31.52,124.93,35.34,46.71,107.73,141.64,54,120,51.53,41.63,53.06,71.49,127.88,155.4,163.52
05/01/2017,36.27,68.68,46.39,165.8,46.21,175,123.4,81.51,87.36,26.18,87.38,20.99,91.29,156.22,106.26,116.54,32.13,66,82.09,59.36,151.74,112.93,43.15,23.52,222.09,166.37,167.19,75.09,139.86,34.11,121.37,33.53,46.06,115.59,134.3,56.34,111,54.1,39.42,55.43,70.21,125.45,163.68,151.91
04/01/2017,35.93,65.81,44.4,166.72,42.44,164.62,124.73,82.02,87.99,27.24,89.86,19.13,89.14,146.94,107.22,112.7,32.33,65.24,84.13,60.48,141.93,111.95,42.58,23.65,219,153.6,157.11,72.08,129.5,33.7,118,32.13,48.73,113.18,129.59,54.53,112.91,55.7,37.47,55.74,66.22,119.42,164.63,146.7
